id,author_id,created_at,lang,text,conversation_id,possibly_sensitive,reply_settings,geo_place_id,data_attachments_media_keys,data_entities_hashtags_start,data_entities_hashtags_end,data_entities_hashtags_tag,data_entities_cashtags_start,data_entities_cashtags_end,data_entities_cashtags_tag,data_entities_annotations_start,data_entities_annotations_end,data_entities_annotations_probability,data_entities_annotations_type,data_entities_annotations_normalized_text,data_entities_urls_start,data_entities_urls_end,data_entities_urls_url,data_entities_urls_expanded_url,data_entities_urls_display_url,data_entities_urls_media_key,data_entities_mentions_start,data_entities_mentions_end,data_entities_mentions_username,data_referenced_tweets_type,data_referenced_tweets_id,data_edit_history_tweet_ids,data_public_metrics_retweet_count,data_public_metrics_reply_count,data_public_metrics_like_count,data_public_metrics_quote_count,data_edit_controls_edits_remaining,data_edit_controls_is_edit_eligible,data_edit_controls_editable_until,author_name,author_username,author_created_at,author_description,author_location,author_pinned_tweet_id,author_profile_image_url,author_url,author_verified,author_public_metrics_followers_count,author_public_metrics_following_count,author_public_metrics_tweet_count,author_public_metrics_listed_count,author_protected,media_key,media_type,media_url,media_public_metrics,media_duration_ms,media_height,media_alt_text,media_width,media_variants,media_preview_image_url,place_full_name,place_contained_within,place_country,place_country_code,place_name,place_place_type,place_geo_type,place_geo_bbox,place_geo_properties
1586843198982340608,183438240,2022-10-30 22:11:15,pt,"Que não deixemos de respeitar quem votou em X ou Y. 
Sua vida não vai mudar em nada! 😉

Quem mora no nordeste não é superior ou inferior a mim, que moro no sudeste! 

Respeito em primeiro lugar!!!
#elesnao",1586843198982340608,False,everyone,,,[197],[205],['elesnao'],,,,"[101, 156]","[108, 162]","[0.9037, 0.6583]","['Place', 'Place']","['nordeste', 'sudeste']",,,,,,,,,,,,['1586843198982340608'],0,0,2,0,5,True,2022-10-30T22:41:15.000Z,Robson B. Ruiz,RobsonBRuiz,2010-08-27T00:32:32,"DJ e proprietário na Styllus Produções e Eventos
Espaço das Palmeiras 🌴",Brasil,,https://pbs.twimg.com/profile_images/1561873459847757825/E5n-exYU_normal.jpg,https://t.co/lOHAD5MWiX,False,47,82,164,0,False,,,,,,,,,,,,,,,,,,,
1586846877814759424,707621664012558336,2022-10-30 22:25:52,pt,"Quem dera  #SimoneTebet   seja o início do término de ""TANTA ORDEM HARMONIA E DEMAIS VANTAGENS"" q só O DEMÔNIO DA MAIS BAIXA ESTIRPE E SUA CORJA pra querer nos obrigar a concordar q suas desgraças sob suas mentiras, enganos e distorções sejam benefícios. https://t.co/9rInCcmiAL",1586846877814759424,False,everyone,,,[11],[23],['SimoneTebet'],,,,[12],[22],[0.9068],['Person'],['SimoneTebet'],[255],[278],['https://t.co/9rInCcmiAL'],['https://twitter.com/simonetebetbr/status/1586737064023916544'],['twitter.com/simonetebetbr/…'],,,,,['quoted'],['1586737064023916544'],['1586846877814759424'],0,1,0,0,5,False,2022-10-30T22:55:52.000Z,Leke doido,LievAnprod,2016-03-09T17:38:46,"Obg #SimoneTebetMulherValorosa 
A ignorância política e a podridão valorizada pode destruir um país, mas A GARRA E EMPENHO DAS PSOAS DE BEM PODE RECONSTRUIR","Brasília, Brasil",1586656162044321792,https://pbs.twimg.com/profile_images/1586861867628109826/OnKrjeQ3_normal.jpg,,False,57,210,293,1,False,,,,,,,,,,,,,,,,,,,
